date;precipitacion
1/01/2002;0,044
1/02/2002;0,093
1/03/2002;0,113
1/04/2002;0,048
1/05/2002;0,01
1/06/2002;0,003
1/07/2002;0,015
1/08/2002;0,009
1/09/2002;0,033
1/10/2002;0,033
1/11/2002;0,057
1/12/2002;0,059
1/01/2003;0,055
1/02/2003;0,084
1/03/2003;0,102
1/04/2003;0,045
1/05/2003;0,008
1/06/2003;0,003
1/07/2003;0,002
1/08/2003;0,009
1/09/2003;0,012
1/10/2003;0,009
1/11/2003;0,023
1/12/2003;0,088
1/01/2004;0,024
4/02/2004;0,08
1/03/2004;0,076
1/04/2004;0,028
1/05/2004;0,008
1/06/2004;0,006
1/07/2004;0,009
1/08/2004;0,006
1/09/2004;0,02
1/10/2004;0,031
1/11/2004;0,046
1/12/2004;0,072
1/01/2005;0,046
1/02/2005;0,05
1/03/2005;0,084
1/04/2005;0,025
1/05/2005;0,007
1/06/2005;0,002
1/07/2005;0,003
1/08/2005;0,003
1/09/2005;0,007
1/10/2005;0,016
1/11/2005;0,012
1/12/2005;0,062
1/01/2006;0,091
1/02/2006;0,056
1/03/2006;0,129
1/04/2006;0,063
1/05/2006;0,004
1/06/2006;0,006
1/07/2006;0,003
1/08/2006;0,012
1/09/2006;0,016
1/10/2006;0,018
1/11/2006;0,049
1/12/2006;0,08
1/01/2007;0,064
1/02/2007;0,073
1/03/2007;0,115
1/04/2007;0,026
1/05/2007;0,004
1/06/2007;0,007
1/07/2007;0,005
1/08/2007;0,01
1/09/2007;0,008
1/10/2007;0,027
1/11/2007;0,028
1/12/2007;0,067
1/01/2008;0,096
1/02/2008;0,095
1/03/2008;0,086
1/04/2008;0,032
1/05/2008;0,01
1/06/2008;0,008
1/07/2008;0,009
1/08/2008;0,006
1/09/2008;0,014
1/10/2008;0,033
1/11/2008;0,026
1/12/2008;0,032
1/01/2009;0,065
1/02/2009;0,063
1/03/2009;0,095
1/04/2009;0,047
1/05/2009;0,01
1/06/2009;0,004
1/07/2009;0,005
1/08/2009;0,007
1/09/2009;0,009
1/10/2009;0,022
1/11/2009;0,031
1/12/2009;0,042
1/01/2010;0,088
1/02/2010;0,07
1/03/2010;0,063
1/04/2010;0,02
1/05/2010;0,004
1/06/2010;0,004
1/07/2010;0,003
1/08/2010;0,011
1/09/2010;0,012
1/10/2010;0,019
1/11/2010;0,021
1/12/2010;0,04
1/01/2011;0,061
8/02/2011;0,083
1/03/2011;0,093
1/04/2011;0,038
1/05/2011;0,011
1/06/2011;0,003
1/07/2011;0,009
1/08/2011;0,005
1/09/2011;0,014
1/10/2011;0,018
1/11/2011;0,037
1/12/2011;0,071
1/01/2012;0,058
1/02/2012;0,098
1/03/2012;0,125
1/04/2012;0,043
1/05/2012;0,008
1/06/2012;0,005
1/07/2012;0,015
1/08/2012;0,007
1/09/2012;0,023
1/10/2012;0,04
1/11/2012;0,02
1/12/2012;0,043
1/01/2013;0,05
1/02/2013;0,105
1/03/2013;0,063
1/04/2013;0,025
1/05/2013;0,007
1/06/2013;0,008
1/07/2013;0,005
1/08/2013;0,005
1/09/2013;0,009
1/10/2013;0,027
1/11/2013;0,019
1/12/2013;0,05
1/01/2014;0,062
1/02/2014;0,07
1/03/2014;0,088
1/04/2014;0,028
1/05/2014;0,014
1/06/2014;0,009
1/07/2014;0,004
1/08/2014;0,005
1/09/2014;0,016
1/10/2014;0,028
1/11/2014;0,036
1/12/2014;0,05
1/01/2015;0,058
1/02/2015;0,081
1/03/2015;0,08
1/04/2015;0,023
1/05/2015;0,015
1/06/2015;0,005
1/07/2015;0,013
1/08/2015;0,01
1/09/2015;0,015
1/10/2015;0,015
1/11/2015;0,024
1/12/2015;0,059
1/01/2016;0,042
1/02/2016;0,106
1/03/2016;0,087
1/04/2016;0,02
1/05/2016;0,005
1/06/2016;0,003
1/07/2016;0,005
1/08/2016;0,004
1/09/2016;0,012
1/10/2016;0,013
1/11/2016;0,018
1/12/2016;0,05
